Source,Target,Weight
skitter,ball,1
even,cooler,1
none,exactli,1
item,list,1
dimpl,love,1
last,year,1
scare,skitter,1
remain,pumpkin-spic,1
came,word,1
happen,item,1
happen,perhap,1
idea,think,1
viral,video,1
mine,appar,1
exactli,one,1
poor,mine,1
made,good,1
made,german,1
cooler,nativ,1
free,zone,1
ador,serious,1
crumb/texture/flavor,also,1
bare,finish,1
fan,like,1
tradit,imagin,1
beyond,promis,1
i.e,cake,1
pumpkin,diction,1
pumpkin,appl,1
butteri,cake,1
yet,want,1
yet,russian,1
small,appl,1
thank,everyon,1
cook,list,1
name,dish,1
peopl,“,1
peopl,tell,1
dish,’,1
tortilla,soup,1
half,sugar,1
lift,say,1
import,talk,1
neither,cinnamon,1
hi,angela,1
purpl,plum,1
word,street,1
list,’,1
list,name,1
video,kitten,1
say,’,1
actual,terribl,1
soup,yet,1
around,appl,1
around,friendli,1
tab,open,1
base,oven,1
leaven,lift,1
sound,even,1
tell,cake,1
tilt,replac,1
make,happen,2
make,kick,1
make,hear,1
tort,extra,1
zone,first,1
plot,year,1
read,email,1
ever,made,1
open,immedi,1
fall,know,1
place,’,1
first,day,1
kick,everi,1
terribl,differ,1
good,’,1
good,hearti,1
appl,cake,2
appl,peel,1
appl,fan,1
like,accordion,1
like,crumb/texture/flavor,1
kitchen,recip,1
street,toronto,1
someon,email,1
tast,good,1
peel,halv,1
ginger,allspic,1
hearti,tortilla,1
smitten,kitchen,1
learn,recip,1
rump-up,butteri,1
nutmeg,ginger,1
tri,yet,1
begin,creep,1
predict,still,1
nativ,languag,1
way,thank,1
thing,golden,1
thing,’,1
thing,like,1
day,two,1
day,fall,1
salt,honey,1
core,score,1
extra,egg,1
honey,tilt,1
honey,brush,1
honey,glaze,1
kitten,scare,1
two,beyond,1
friendli,warm,1
never,bad,1
know,ador,1
know,tomorrow,1
cool,cake,1
see,made,1
also,import,1
warm,peopl,1
promis,none,1
promis,site,1
disappoint,dozen,1
event,never,1
immedi,know,1
rough,idea,1
would,remain,1
relentlessli,cute,2
realiz,peopl,1
realiz,thing,1
german,sunken,1
napoleon,’,1
week,realiz,1
anyth,els,1
differ,last,1
time,see,1
time,around,1
angela,ask,1
sunken,appl,1
hope,plan,1
could,make,1
perhap,predict,1
’,plot,1
’,rough,1
’,make,1
’,tri,1
’,promis,1
’,relentlessli,1
’,look,1
’,friend,1
’,actual,1
’,purpl,1
’,awesom,1
’,pumpkin,1
’,resist,1
’,tradit,1
primari,thing,1
diction,poor,1
talk,cake,1
apfelkuchen,bare,1
accordion,whole,1
toronto,yesterday,1
cold-heart,realiz,1
plum,tort,1
whole,thing,1
dozen,peopl,1
site,would,1
languag,versunken,1
russian,napoleon,1
took,three,1
appar,disappoint,1
forev,jump,1
awesom,especi,1
instead,“,1
give,honey,1
serious,’,1
glaze,’,1
bad,time,1
clove,’,1
month,ago,1
might,tast,1
three,week,1
especi,day,1
everyon,came,1
ago,someon,1
replac,half,1
yesterday,fun,1
imagin,cake,1
versunken,apfelkuchen,1
fun,event,1
jump,place,1
everi,time,1
allspic,clove,1
friend,anyon,1
”,i.e,1
”,howev,1
recip,cook,1
recip,make,1
ball,yarn,1
drove,’,1
finish,read,1
creep,around,1
love,abandon,1
cake,sound,1
cake,base,1
cake,begin,1
cake,version,1
cake,mean,1
cake,fear,1
cake,drove,1
cake,neither,1
cake,make,1
cake,”,1
cake,salt,1
cake,way,1
version,viral,1
sugar,honey,1
egg,leaven,1
cinnamon,nutmeg,1
want,learn,1
new,tab,1
anyon,cold-heart,1
resist,give,1
score,arrang,1
one,month,1
year,take,1
year,’,1
pumpkin-spic,free,1
plan,anyth,1
think,someth,1
look,cake,1
ask,ever,1
“,relentlessli,1
“,pumpkin,1
yarn,primari,1
hear,instead,1
els,could,1
cute,small,1
cute,”,1
golden,dimpl,1
mean,’,1
mean,cake,1
arrang,rump-up,1
tomorrow,mean,1
oven,cake,1
email,hi,1
email,new,1
howev,’,1
someth,might,1
abandon,hope,1
halv,core,1
take,forev,1
fear,cake,1
still,took,1
brush,cool,1
