Source,Target,Weight
small,commiss,1
”,interweb,1
differ,one,1
crunch,sit-up,1
crunch,boo,1
bent-ov,row,1
bike,row,1
also,tri,1
need,life,1
need,’,1
need,idea,1
need,one,1
fun,tune,1
let,’,1
let,know,1
commiss,thank,1
share,today,1
product,compani,1
give,five,1
work,one,1
hip,bridg,1
—,anyth,1
three,favorit,1
idea,look,1
content,pure,1
life,anoth,1
life,three,1
like,follow,1
like,push,1
like,pick,1
like,garag,1
core,basic,1
simpl,formula,2
link,may,2
scheme,…,1
receiv,product,1
receiv,compens,1
receiv,small,1
anoth,cumbersom,1
wall,knee,1
wall,sit,1
minut,also,1
minut,full-bodi,1
unless,otherwis,1
full-bodi,workout,5
rate,cardio,1
rate,simpli,1
place,bike,1
interweb,get,1
equip,…,1
equip,need,1
blog,health,1
blog,impress,1
often,receiv,1
good,workout,1
consciou,alway,1
reason,formula,1
figur,want,1
alway,entir,1
alway,exercis,1
plank,toe,1
know,one,1
know,comment,1
two,differ,1
flutter,kick,1
em,move,1
cardio,cardio,1
cardio,anyth,1
cardio,move,1
sit-up,v-up,1
read,blog,2
togeth,formula,1
follow,simpl,2
sit,etc,1
entir,unless,1
compens,review,1
creat,perfect,2
search,“,1
bodi,happili,1
five,minut,1
lower,half,1
plank/cor,core,1
compani,review,1
support,health,1
mani,requir,1
mani,round,2
knee,toe,1
knee,realli,1
suggest,mani,1
suggest,need,1
happili,get,1
go-to,winner,1
go-to,equip,1
weight,bodyweight-onli,1
etc,anyth,1
kick,revers,1
revers,crunch,1
repeat,mani,1
use,formula,2
use,dumbbel,1
tri,minut,1
tri,crunch,1
otherwis,state,1
want,pop,1
“,full-bodi,1
march,place,1
challeng,lower,1
lung,squat,1
includ,tradit,1
includ,purchas,1
editori,affili,1
strength,get,1
strength,work,1
bodyweight-onli,lung,1
round,’,2
complic,rep,1
’,know,1
’,need,1
’,em,1
’,share,1
’,get,1
’,like,1
’,total,1
basic,plank,1
toe,tricep,1
toe,knee,1
comment,–jenn,1
favorit,workout,1
row,—,1
row,simpli,1
right,let,1
regular,read,1
upper-bodi,move,2
see,fuss,1
curl,bent-ov,1
dumbbel,move,1
dumbbel,strength,1
tricep,dip,1
deadlift,wall,1
half,plank/cor,1
pop,fun,1
customiz,need,1
run,march,1
push,press,1
requir,equip,1
jack,run,1
–jenn,ftc,1
ftc,disclosur,1
opinion,alway,1
fit,first,1
v-up,flutter,1
disclosur,often,1
winner,winner,1
winner,right,1
fuss,fit,1
cumbersom,thing,1
jump,jack,1
bridg,deadlift,1
thank,support,1
exercis,regular,1
great,one,1
someth,one,1
chair,lower-bodi,1
playlist,suggest,1
feel,time,1
garag,gym,1
review,thought,1
review,content,1
state,receiv,1
may,includ,1
may,receiv,1
get,lot,1
get,sweat,1
get,creat,1
get,heart,2
one,thing,1
one,go-to,1
one,upper-bodi,1
one,tri,1
one,use,1
one,like,1
one,link,1
realli,great,1
gym,see,1
first,workout,1
heart,rate,2
1,go-to,1
lower-bodi,move,2
pick,two,1
pick,move,1
look,real,1
formula,perfect,1
formula,one,1
formula,cardio,1
formula,give,1
formula,1,1
formula,let,1
bicep,curl,1
affili,link,1
health,consciou,1
health,read,1
boo,togeth,1
boost,strength,1
dip,chair,1
twice,pick,1
…,complic,1
…,lot,1
push-up,wall,1
purchas,someth,1
thing,’,1
thing,figur,1
total,customiz,1
press,bicep,1
tune,good,1
squat,hip,1
perfect,full-bodi,3
anyth,jump,1
anyth,get,1
anyth,challeng,1
workout,”,1
workout,playlist,1
workout,’,1
workout,creat,1
workout,follow,1
workout,boost,1
workout,use,2
pure,editori,1
move,bodi,1
move,twice,1
move,upper-bodi,1
move,includ,1
move,like,1
move,lower-bodi,1
move,weight,1
move,mani,1
thought,opinion,1
real,life,1
time,’,1
time,like,1
sweat,feel,1
today,reason,1
lot,suggest,1
lot,time,1
tradit,dumbbel,1
rep,scheme,1
simpli,push-up,1
simpli,repeat,1
